run,config,fault,planning_latency_s,search_duration_s,navigate_duration_s,total_duration_s,victim_found,mission_success,grounding_ok,assignment_ok,false_dispatch,localization_error,delivery_error,llm_call_count
18,skill_list,none,0.96,0.05,,8.59,True,True,1,1,0,0.0,9.83828327990776,2
19,skill_list,none,1.09,0.05,,8.38,True,True,1,1,0,0.0,9.837876123730586,2
20,skill_list,none,1.03,0.05,,8.2,True,True,1,1,0,0.0,9.83758572463383,2
21,skill_list,none,0.87,0.05,,8.58,True,True,1,1,0,0.0,9.837342718069968,2
22,skill_list,none,1.44,0.05,,8.9,True,True,1,1,0,0.0,9.837122348500325,2
23,skill_list,none,0.93,0.05,,8.23,True,True,1,1,0,0.0,9.836979003586418,2
24,skill_list,none,1.05,0.05,,8.24,True,True,1,1,0,0.0,9.836865106744499,2
25,skill_list,none,0.97,0.05,,8.7,True,True,1,1,0,0.0,9.83696065783178,2
26,skill_list,none,1.08,0.05,,8.2,True,True,1,1,0,0.0,9.837186437003977,2
27,skill_list,none,0.94,0.05,,9.59,True,True,1,1,0,0.0,9.837183092874572,2
28,skill_list,none,1.02,0.05,,9.27,True,True,1,1,0,0.0,9.837209689297344,2
29,skill_list,none,0.96,0.05,,8.54,True,True,1,1,0,0.0,9.83759717342716,2
30,skill_list,none,0.9,0.05,,8.3,True,True,1,1,0,0.0,9.83863551015881,2
31,skill_list,none,1.05,0.05,,10.53,True,True,1,1,0,0.0,9.84001795908658,2
32,skill_list,none,1.08,0.05,,8.76,True,True,1,1,0,0.0,9.84157524395841,2
33,skill_list,none,0.91,0.05,,8.17,True,True,1,1,0,0.0,9.842917122290507,2
34,skill_list,none,1.33,0.05,,9.4,True,True,1,1,0,0.0,9.844876172479612,2
35,skill_list,none,0.91,0.05,,8.17,True,True,1,1,0,0.0,9.846853763169088,2
36,skill_list,none,1.17,0.05,,8.34,True,True,1,1,0,0.0,9.849365555665443,2
37,skill_list,none,1.01,0.05,,8.38,True,True,1,1,0,0.0,9.852284095505576,2
38,skill_list,none,1.09,0.05,,8.51,True,True,1,1,0,0.0,9.854879750119538,2
39,skill_list,none,1.18,0.05,,8.5,True,True,1,1,0,0.0,9.858385864608712,2
40,skill_list,none,1.28,0.05,,8.57,True,True,1,1,0,0.0,9.862513964560751,2
