baseline,workflow_accuracy,skill_grounding,tool_hallucination,plan_executability,contract_violation,false_dispatch,safety_recall,safety_precision,replan_success,planning_latency_mean
llm-only,100.00,26.32,63.16,20.00,50.00,89.47,0.00,0.00,0.00,1.45
skill-list,100.00,100.00,0.00,100.00,20.00,11.11,0.00,0.00,0.00,1.41
rao,100.00,100.00,0.00,100.00,20.00,0.00,100.00,100.00,0.00,3.52
